"","nominee_Cong_ID","loc_year","nominee","nominee_ID","loc_month","loc_time","livemonth","post_mid","congress_2","confirmed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","aba2","min2","gender","renom","pending_noms","bork","nonpres","pres.maj.med","opp.sen","scmonths","key","critical"
"1",169,2008,"agee, g. steven",10,3,200803,15,"1","110",0,0,0,0,0,0.839999973773956,40.383,1,0,6,0,0,0,35,1,0.526315987110138,1.05149997770786,51,0,0,0
"2",169,2008,"agee, g. steven",10,4,200804,16,"1","110",0,0,0,0,0,0.839999973773956,38.748,1,0,6,0,0,0,40,1,0.526315987110138,1.05149997770786,51,0,0,0
"3",169,2008,"agee, g. steven",10,5,200805,17,"1","110",1,0,0,0,0,0.839999973773956,39.969,1,0,6,0,0,0,36,1,0.526315987110138,1.05149997770786,51,0,0,0
"4",206,1979,"Alarcon, Arthur L.",13,8,197908,8,"1","96",0,0,0,0,0,0.402999997138977,37.106,0,0,3,1,0,0,61,0,0.411764979362488,0.200000017881393,41,0,0,0
"5",206,1979,"Alarcon, Arthur L.",13,10,197910,10,"1","96",1,0,0,0,0,0.402999997138977,36.199,0,0,3,1,0,0,54,0,0.411764979362488,0.200000017881393,41,0,0,0
"6",206,1979,"Alarcon, Arthur L.",13,9,197909,9,"1","96",0,0,0,0,0,0.402999997138977,34.597,0,0,3,1,0,0,76,0,0.411764979362488,0.200000017881393,41,0,0,0
"7",279,1990,"Alito, Samuel A.",17,3,199003,15,"0","101",0,0,0,0,0,0.724399983882904,74.91,0,0,6,0,0,0,29,1,0.571429014205933,0.888999998569489,55,0,0,0
"8",279,1990,"Alito, Samuel A.",17,4,199004,16,"0","101",1,0,0,0,0,0.724399983882904,76.689,0,0,6,0,0,0,26,1,0.571429014205933,0.888999998569489,55,0,0,0
"9",279,1990,"Alito, Samuel A.",17,2,199002,14,"0","101",0,0,0,0,0,0.724399983882904,76.896,0,0,6,0,0,0,25,1,0.571429014205933,0.888999998569489,55,0,0,0
"10",320,2004,"Allen, Claude Alexander",19,4,200404,16,"1","108",0,0,0,0,0,0.833400011062622,53.605,0,0,2,1,0,0,48,1,0.473684012889862,0.355999976396561,48,0,0,0
"11",320,2004,"Allen, Claude Alexander",19,10,200410,22,"1","108",0,0,0,0,0,0.833400011062622,53.41,0,0,2,1,0,0,27,1,0.473684012889862,0.355999976396561,48,0,0,0
